5	2	6	16	4	0.650068503	0.950920099	0.300851596	-115.3922767	76.76772334	0.349931497	0.309670168
2	11	5	8	13	0.6329668	0.950038736	0.317071937	-1158.340074	-107.6200741	0.3670332	0.272482832
5	13	15	6	4	0.630610543	0.951088738	0.320478195	-161.735035	-10.13503499	0.369389457	0.267418469
5	8	8	6	8	0.616744593	0.950226736	0.333482143	92.13938246	471.0993825	0.383255407	0.237876681
2	3	9	6	2	0.60095929	0.951810334	0.350851044	22.73495266	128.3349527	0.39904071	0.204731876
2	9	2	4	14	0.597657577	0.950280232	0.352622655	168.1572664	792.5572664	0.402342423	0.197857226
5	2	2	16	14	0.588339313	0.954085986	0.365746674	-712.9171676	523.4828324	0.411660687	0.178552204
1	8	6	3	4	0.587318505	0.950332002	0.363013497	-85.85113215	-5.651132153	0.412681495	0.176445588
5	7	7	6	4	0.586332476	0.9500516	0.363719124	-45.90713874	16.81286126	0.413667524	0.174412212
1	2	15	2	4	0.584088489	0.950547782	0.366459292	-19.96595307	30.07404693	0.415911511	0.169789986
5	2	7	16	12	0.580008093	0.952341508	0.372333416	-296.3955537	621.6044463	0.419991907	0.161403307
3	10	2	2	9	0.57787375	0.952926014	0.375052264	282.8194813	461.8594813	0.42212625	0.15702549
1	9	5	2	10	0.575977632	0.952408177	0.376430545	66.56442981	500.9644298	0.424022368	0.153141309
1	9	6	2	4	0.575340318	0.950288986	0.374948668	-36.64772334	1.912276657	0.424659682	0.151836811
3	5	4	9	6	0.57514383	0.951322912	0.376179081	880.8426842	1269.162684	0.42485617	0.151434731
2	2	2	6	16	0.574664701	0.954858856	0.380194156	112.2089914	1029.168991	0.425335299	0.150454472
2	7	5	4	8	0.571215872	0.950861914	0.379646042	-600.2038287	-194.0838287	0.428784128	0.143406802
5	2	13	16	6	0.570750129	0.951675582	0.380925453	-167.3129683	377.4870317	0.429249871	0.142456157
4	3	8	9	2	0.57059037	0.951166817	0.380576447	357.5426595	531.7026595	0.42940963	0.142130125
1	2	9	2	10	0.569362807	0.950965836	0.381603029	73.51856731	323.3185673	0.430637193	0.139625948
2	9	17	8	2	0.568512597	0.950349314	0.381836717	-60.61193907	57.58806093	0.431487403	0.137892577
1	17	9	2	10	0.566551027	0.95231022	0.385759193	74.81163442	312.2316344	0.433448973	0.133896536
5	2	5	16	6	0.56164263	0.953066319	0.391423689	-290.6885385	170.2914615	0.43835737	0.123915633
4	2	2	15	4	0.560972915	0.950100593	0.389127678	-76.36228901	839.637711	0.439027085	0.122555759
2	9	2	10	5	0.560405761	0.952106139	0.391700378	384.7247756	1150.324776	0.439594239	0.121404488
1	2	5	10	4	0.560331806	0.952762671	0.392430865	-836.4658213	-212.5658213	0.439668194	0.12125439
2	3	5	14	3	0.559577171	0.952140784	0.392563614	-290.1063401	104.6936599	0.440422829	0.119723103
5	2	2	16	10	0.55948709	0.951956211	0.392469121	-652.4443228	480.1156772	0.44051291	0.11954035
5	9	9	4	8	0.559328811	0.951071168	0.391742358	6.453750515	206.7737505	0.440671189	0.119219259
2	2	6	8	8	0.557650811	0.952698864	0.395048053	-16.8081515	859.3918485	0.442349189	0.115816695
2	9	2	10	2	0.557182263	0.953557329	0.396375066	90.16640593	309.5664059	0.442817737	0.114867075
2	2	3	8	12	0.556632661	0.952624088	0.395991427	-232.5069494	841.5330506	0.443367339	0.113753447
4	3	16	12	2	0.555973834	0.950441617	0.394467783	167.8247839	419.0647839	0.444026166	0.112418869
5	6	13	4	4	0.555851486	0.951047945	0.395196459	2.59502676	70.13502676	0.444148514	0.112171075
5	2	3	16	4	0.555016145	0.952731431	0.397715286	-92.7529683	201.4870317	0.444983855	0.110479601
1	5	3	6	4	0.554295174	0.950301343	0.39600617	-110.4287443	55.89125566	0.445704826	0.10902022
1	4	3	7	4	0.55344231	0.95034647	0.39690416	-169.1459778	85.73402223	0.44655769	0.107294461
5	2	5	8	4	0.55312841	0.952671141	0.399542732	-151.0839769	20.99602305	0.44687159	0.106659449
4	5	7	6	2	0.552142468	0.953449495	0.401307028	169.7451791	260.2251791	0.447857532	0.104665467
4	5	17	6	2	0.551770148	0.950123696	0.398353548	94.82409222	172.8240922	0.448229852	0.1039127
1	2	2	8	8	0.551471181	0.951791665	0.400320484	-1820.554862	-463.9548621	0.448528819	0.103308323
1	8	2	2	12	0.551020537	0.950037391	0.399016854	-228.9513874	62.6486126	0.448979463	0.102397468
1	16	2	3	12	0.550579856	0.951868154	0.401288297	-1057.561383	-391.5613833	0.449420144	0.101506912
2	12	9	6	2	0.550250063	0.953147922	0.402897859	-158.7933635	-3.273363524	0.449749937	0.100840551
1	15	9	2	6	0.549715003	0.951742157	0.402027155	35.51382462	203.2138246	0.450284997	0.099759628
1	2	9	5	6	0.548717815	0.95215233	0.403434515	134.6515768	727.2915768	0.451282185	0.097745741
5	5	2	4	8	0.548704186	0.950369601	0.401665414	-239.7277233	-32.60772334	0.451295814	0.097718221
4	7	3	6	16	0.548689562	0.950234377	0.401544815	831.9027583	1664.462758	0.451310438	0.097688692
3	2	5	11	6	0.548665554	0.950045951	0.401380397	1006.974607	1552.454607	0.451334446	0.097640218
1	3	2	10	8	0.547819017	0.951304003	0.403484987	-2075.431988	-426.0319885	0.452180983	0.095931233
1	2	2	9	12	0.547282549	0.951535424	0.404252875	-2945.699119	-834.759119	0.452717451	0.094848504
1	2	3	7	16	0.547186598	0.950977387	0.403790789	-923.3171511	1165.642849	0.452813402	0.094654875
4	7	8	6	10	0.5467173	0.950051827	0.403334527	649.3894442	1191.489444	0.4532827	0.093707929
